0,1,2,3,4,5,6,7,8,9,10,11,12
Imam-ul-Haq (PAK),151,211,131,16,1,115.26,1,,v England,Bristol,14-May-19,
G Gambhir (INDIA),150*,-,137,14,0,109.48,2,,v Sri Lanka,Kolkata,24-Dec-09,
JP Duminy (SA),150*,143,122,5,8,122.95,1,,v Netherlands,Amstelveen,31-May-13,
G Gambhir (INDIA),150,214,147,14,1,102.04,1,,v Sri Lanka,Colombo (RPS),05-Feb-09,
HM Amla (SA),150,209,124,16,0,120.96,1,,v England,Southampton,28-Aug-12,
RG Sharma (INDIA),150,215,133,13,6,112.78,2,,v South Africa,Kanpur,11-Oct-15,
Yuvraj Singh (INDIA),150,183,127,21,3,118.11,1,,v England,Cuttack,19-Jan-17,
JC Buttler (ENG),150,-,77,13,12,194.8,1,,v West Indies,St George's,27-Feb-19,
S Chanderpaul (WI),149*,233,136,16,3,109.55,2,,v India,Nagpur,21-Jan-07,
AC Gilchrist (AUS),149,129,104,13,8,143.26,1,,v Sri Lanka,Bridgetown,28-Apr-07,
AB de Villiers (SA),149,59,44,9,16,338.63,1,,v West Indies,Johannesburg,18-Jan-15,
SPD Smith (AUS),149,179,135,11,2,110.37,2,,v India,Perth,12-Jan-16,
MS Dhoni (INDIA),148,155,123,15,4,120.32,1,,v Pakistan,Visakhapatnam,05-Apr-05,
AJ Finch (AUS),148,147,114,16,7,129.82,1,,v Scotland,Edinburgh,03-Sep-13,
E Lewis (WI),148,196,122,15,4,121.31,2,,v Sri Lanka,Bulawayo,23-Nov-16,
SW Ambris (WI),148,163,126,19,1,117.46,2,,v Ireland,Dublin (Malahide),11-May-19,
EJG Morgan (ENG),148,77,71,4,17,208.45,1,,v Afghanistan,Manchester,18-Jun-19,
KS Williamson (NZ),148,212,154,14,1,96.1,1,,v West Indies,Manchester,22-Jun-19,
MV Boucher (SA),147*,90,68,8,10,216.17,1,,v Zimbabwe,Potchefstroom,20-Sep-06,
RG Sharma (INDIA),147,168,138,18,2,106.52,1,,v New Zealand,Kanpur,29-Oct-17,
AD Hales (ENG),147,-,92,16,5,159.78,1,,v Australia,Nottingham,19-Jun-18,
MP Stoinis (AUS),146*,161,117,9,11,124.78,2,,v New Zealand,Auckland,30-Jan-17,
SD Hope (WI),146*,-,144,12,3,101.38,2,,v Bangladesh,Dhaka,11-Dec-18,
SR Tendulkar (INDIA),146,186,132,17,0,110.6,1,,v Kenya,Paarl,24-Oct-01,
ML Hayden (AUS),146,207,128,12,6,114.06,1,,v Pakistan,Nairobi (Gym),30-Aug-02,
AB de Villiers (SA),146,195,130,12,5,112.3,1,,v West Indies,St George's,10-Apr-07,
V Sehwag (INDIA),146,166,102,17,6,143.13,1,,v Sri Lanka,Rajkot,15-Dec-09,
RJ Nicol (NZ),146,198,134,10,6,108.95,1,,v Zimbabwe,Whangarei,06-Feb-12,
NJ Astle (NZ),145*,177,151,13,6,96.02,1,,v U.S.A.,The Oval,10-Sep-04,
BRM Taylor (ZIM),145*,212,136,12,0,106.61,2,,v South Africa,Bloemfontein,15-Oct-10,
KS Williamson (NZ),145*,207,136,17,1,106.61,1,,v South Africa,Kimberley,22-Jan-13,
A Balbirnie (IRE),145*,-,136,8,8,106.61,2,,v Afghanistan,Dehradun,05-Mar-19,
A Flower (ZIM),145,215,164,13,0,88.41,2,,v India,Colombo (RPS),14-Sep-02,
DR Martyn (AUS),144*,206,149,12,0,96.64,1,,v Zimbabwe,Perth,04-Feb-01,
Younis Khan (PAK),144,165,122,8,3,118.03,1,,v Hong Kong,Colombo (SSC),18-Jul-04,
TM Dilshan (SL),144,186,131,16,1,109.92,1,,v Zimbabwe,Pallekele,10-Mar-11,
DPMD Jayawardene (SL),144,196,150,14,0,96,1,,v England,Leeds,01-Jul-11,
Mushfiqur Rahim (BDESH),144,-,150,11,4,96,1,,v Sri Lanka,Dubai (DSC),15-Sep-18,
Imrul Kayes (BDESH),144,-,140,13,6,102.85,1,,v Zimbabwe,Dhaka,21-Oct-18,
A Symonds (AUS),143*,139,125,18,2,114.4,1,,v Pakistan,Johannesburg,11-Feb-03,
Anshuman Rath (HKG),143*,-,137,9,3,104.37,1,,v P.N.G.,ICCA Dubai,08-Dec-17,
HH Gibbs (SA),143,195,141,19,3,101.41,1,,v New Zealand,Johannesburg,16-Feb-03,
Shoaib Malik (PAK),143,197,127,18,1,112.59,1,,v India,Colombo (RPS),25-Jul-04,
SR Watson (AUS),143,174,107,12,6,133.64,1,,v England,Southampton,16-Sep-13,
S Dhawan (INDIA),143,-,115,18,3,124.34,1,,v Australia,Mohali,10-Mar-19,
GW Flower (ZIM),142*,154,128,10,2,110.93,1,,v Bangladesh,Bulawayo,11-Apr-01,
A Flower (ZIM),142*,204,128,16,1,110.93,1,,v England,Harare,07-Oct-01,
KJ O'Brien (IRE),142,128,125,10,6,113.6,1,,v Kenya,Nairobi (Ruaraka),02-Feb-07,
Mohammad Yousuf (PAK),141*,188,147,13,3,95.91,1,,v Zimbabwe,Bulawayo,23-Nov-02,
RT Ponting (AUS),141*,170,127,10,5,111.02,1,,v New Zealand,Napier,05-Mar-05,
SR Tendulkar (INDIA),141*,-,148,13,5,95.27,1,,v West Indies,Kuala Lumpur,14-Sep-06,
RG Sharma (INDIA),141*,195,123,17,4,114.63,2,,v Australia,Jaipur,16-Oct-13,
JM Bairstow (ENG),141*,-,114,17,0,123.68,2,,v West Indies,Southampton,29-Sep-17,
SB Styris (NZ),141,177,125,3,6,112.8,2,,v Sri Lanka,Bloemfontein,10-Feb-03,
SR Tendulkar (INDIA),141,173,135,17,1,104.44,2,,v Pakistan,Rawalpindi,16-Mar-04,
GC Smith (SA),141,216,134,16,0,105.22,2,,v England,Centurion,27-Sep-09,
Sikandar Raza (ZIM),141,171,133,11,7,106.01,2,,v Afghanistan,Bulawayo,20-Jul-14,
IR Bell (ENG),141,175,125,15,1,112.8,1,,v Australia,Hobart,23-Jan-15,
RT Ponting (AUS),140*,138,121,4,8,115.7,1,,v India,Johannesburg,23-Mar-03,
Mohammad Hafeez (PAK),140*,203,136,11,3,102.94,1,,v Sri Lanka,Sharjah,22-Dec-13,
CS MacLeod (SCOT),140*,-,94,16,3,148.93,1,,v England,Edinburgh,10-Jun-18,
CH Gayle (WI),140,162,127,12,5,110.23,1,,v India,Ahmedabad,15-Nov-02,
HM Amla (SA),140,166,135,8,4,103.7,1,,v Bangladesh,Benoni,09-Nov-08,
V Kohli (INDIA),140,-,107,21,2,130.84,2,,v West Indies,Guwahati,21-Oct-18,
NLTC Perera (SL),140,-,74,8,13,189.18,2,,v New Zealand,Mount Maunganui,05-Jan-19,
RG Sharma (INDIA),140,153,113,14,3,123.89,1,,v Pakistan,Manchester,16-Jun-19,
MS Dhoni (Asia),139*,144,97,15,5,143.29,1,,v Africa XI,Chennai,10-Jun-07,
Mohammad Hafeez (PAK),139*,191,147,13,1,94.55,2,,v Zimbabwe,Harare,11-Sep-11,
MS Dhoni (INDIA),139*,169,121,12,5,114.87,1,,v Australia,Mohali,19-Oct-13,
PL Mommsen (SCOT),139*,179,149,12,1,93.28,1,,v U.A.E.,Lincoln,01-Feb-14,
AD Mathews (SL),139*,141,116,6,10,119.82,1,,v India,Ranchi,16-Nov-14,
V Kohli (INDIA),139*,192,126,12,3,110.31,2,,v Sri Lanka,Ranchi,16-Nov-14,
HDRL Thirimanne (SL),139*,197,143,13,2,97.2,2,,v England,Wellington,01-Mar-15,
SR Tendulkar (INDIA),139,197,125,19,0,111.2,1,,v Australia,Indore,31-Mar-01,
Yuvraj Singh (INDIA),139,143,122,16,2,113.93,1,,v Australia,Sydney,22-Jan-04,
JH Kallis (SA),139,197,142,11,3,97.88,2,,v West Indies,Johannesburg,04-Feb-04,
JM How (NZ),139,187,116,10,3,119.82,2,,v England,Napier,20-Feb-08,
WTS Porterfield (IRE),139,-,147,15,2,94.55,1,,v U.A.E.,ICCA Dubai,13-Jan-18,
JM Bairstow (ENG),139,-,92,15,5,151.08,1,,v Australia,Nottingham,19-Jun-18,
DA Miller (SA),139,-,108,13,4,128.7,1,,v Australia,Hobart,11-Nov-18,
SO Hetmyer (WI),139,-,106,11,7,131.13,2,,v India,Chennai,15-Dec-19,
KC Sangakkara (SL),138*,210,147,13,2,93.87,1,,v India,Jaipur,31-Oct-05,
Yuvraj Singh (INDIA),138*,125,78,16,6,176.92,1,,v England,Rajkot,14-Nov-08,
G Gambhir (INDIA),138*,171,116,18,0,118.96,2,,v New Zealand,Jaipur,01-Dec-10,
PJ Hughes (AUS),138*,187,154,13,1,89.61,1,,v Sri Lanka,Hobart,23-Jan-13,
DA Miller (SA),138*,133,92,7,9,150,1,,v Zimbabwe,Hamilton,15-Feb-15,
Q de Kock (SA),138*,154,96,12,6,143.75,2,,v England,Bloemfontein,03-Feb-16,
SR Tendulkar (INDIA),138,214,133,10,1,103.75,1,,v Sri Lanka,Colombo (RPS),14-Sep-09,
RG Sharma (INDIA),138,228,139,9,4,99.28,1,,v Australia,Melbourne,18-Jan-15,
BRM Taylor (ZIM),138,155,110,15,5,125.45,1,,v India,Auckland,14-Mar-15,
V Kohli (INDIA),138,202,140,6,5,98.57,1,,v South Africa,Chennai,22-Oct-15,
JM Bairstow (ENG),138,160,106,14,7,130.18,1,,v New Zealand,Dunedin,07-Mar-18,
BRM Taylor (ZIM),138,-,124,20,2,111.29,1,,v West Indies,Harare,19-Mar-18,
MJ Guptill (NZ),138,-,139,11,5,99.28,1,,v Sri Lanka,Mount Maunganui,03-Jan-19,
Fakhar Zaman (PAK),138,136,106,12,4,130.18,2,,v England,Southampton,11-May-19,
A Bagai (CAN),137*,191,172,12,1,79.65,2,,v Scotland,Nairobi (Ruaraka),31-Jan-07,
TM Dilshan (SL),137*,221,139,10,0,98.56,1,,v Pakistan,Lahore,24-Jan-09,
W Barresi (NL),137*,184,150,11,2,91.33,1,,v Kenya,Lincoln,23-Jan-14,
RG Sharma (INDIA),137*,-,114,15,4,120.17,2,,v England,Nottingham,12-Jul-18,
ME Trescothick (ENG),137,232,142,11,3,96.47,2,,v Pakistan,Lord's,12-Jun-01,
IJL Trott (ENG),137,178,126,11,0,108.73,1,,v Australia,Sydney,02-Feb-11,
AN Cook (ENG),137,187,142,14,0,96.47,1,,v Pakistan,Abu Dhabi,13-Feb-12,
S Dhawan (INDIA),137,199,146,16,2,93.83,1,,v South Africa,Melbourne,22-Feb-15,
RG Sharma (INDIA),137,223,126,14,3,108.73,1,,v Bangladesh,Melbourne,19-Mar-15,
TWM Latham (NZ),137,218,121,7,4,113.22,1,,v Bangladesh,Christchurch,26-Dec-16,
LRPL Taylor (NZ),137,-,131,9,4,104.58,1,,v Sri Lanka,Nelson,08-Jan-19,
SR Watson (AUS),136*,176,132,10,7,103.03,2,,v England,Centurion,02-Oct-09,
Mohammad Hafeez (PAK),136*,205,130,9,5,104.61,1,,v Zimbabwe,Harare,29-Aug-13,
AB de Villiers (SA),136*,173,106,11,2,128.3,2,,v Australia,Harare,27-Aug-14,
Salman Butt (PAK),136,162,124,14,1,109.67,1,,v Bangladesh,Karachi,19-Apr-08,
V Kohli (INDIA),136,157,122,16,2,111.47,2,,v Bangladesh,Fatullah,26-Feb-14,
JP Kotze (NAM),136,-,109,11,8,124.77,1,,v U.S.A.,Lauderhill,20-Sep-19,
Saleem Elahi (PAK),135,191,129,19,0,104.65,1,,v South Africa,Port Elizabeth,11-Dec-02,
CH Gayle (WI),135,175,129,9,5,104.65,1,,v New Zealand,Napier,13-Jan-09,
Q de Kock (SA),135,171,121,18,3,111.57,1,,v India,Johannesburg,05-Dec-13,
AJ Finch (AUS),135,158,128,12,3,105.46,1,,v England,Melbourne,14-Feb-15,
Q de Kock (SA),135,147,117,16,4,115.38,2,,v England,Centurion,09-Feb-16,
MDKJ Perera (SL),135,-,128,16,2,105.46,1,,v Ireland,Dublin (Malahide),18-Jun-16,
CH Gayle (WI),135,216,129,3,12,104.65,1,,v England,Bridgetown,20-Feb-19,
A Balbirnie (IRE),135,169,124,11,4,108.87,1,,v West Indies,Dublin (Malahide),11-May-19,
SP Fleming (NZ),134*,158,132,21,0,101.51,2,,v South Africa,Johannesburg,16-Feb-03,
KJJ van Noortwijk (NL),134*,188,129,11,3,103.87,1,,v Namibia,Bloemfontein,03-Mar-03,
GC Smith (SA),134*,146,124,20,1,108.06,2,,v India,Kolkata,25-Nov-05,
Shakib Al Hasan (BDESH),134*,-,152,14,0,88.15,1,,v Canada,St John's,28-Feb-07,
RT Ponting (AUS),134*,198,133,10,2,100.75,1,,v New Zealand,Hobart,20-Dec-07,
KC Sangakkara (SL),134*,197,135,12,0,99.25,2,,v England,The Oval,13-Jun-13,
AB de Villiers (SA),134,126,98,13,4,136.73,1,,v Netherlands,Mohali,03-Mar-11,
MS Dhoni (INDIA),134,203,122,10,6,109.83,1,,v England,Cuttack,19-Jan-17,
ME Waugh (AUS),133*,205,138,15,1,96.37,2,,v India,Pune,28-Mar-01,
G Kirsten (SA),133*,205,155,13,0,85.8,2,,v India,Johannesburg,05-Oct-01,
CH Gayle (WI),133*,197,135,17,3,98.51,2,,v South Africa,Jaipur,02-Nov-06,
V Kohli (INDIA),133*,133,86,16,2,154.65,2,,v Sri Lanka,Hobart,28-Feb-12,
MN Samuels (WI),133*,209,156,11,3,85.25,1,,v Zimbabwe,Canberra,24-Feb-15,
F du Plessis (SA),133*,184,115,9,6,115.65,1,,v India,Mumbai,25-Oct-15,
AD Hales (ENG),133*,135,110,10,6,120.9,2,,v Sri Lanka,Birmingham,24-Jun-16,
JE Root (ENG),133*,202,129,11,1,103.1,2,,v Bangladesh,The Oval,01-Jun-17,
WU Tharanga (SL),133,182,141,17,0,94.32,1,,v Zimbabwe,Pallekele,10-Mar-11,
KC Sangakkara (SL),133,208,151,12,0,88.07,2,,v India,Hambantota,21-Jul-12,
KJ Coetzer (SCOT),133,-,136,14,2,97.79,1,,v Afghanistan,Sharjah,08-Mar-13,
HM Amla (SA),133,190,105,11,6,126.66,1,,v West Indies,Centurion,28-Jan-15,
RG Sharma (INDIA),133,204,129,10,6,103.1,2,,v Australia,Sydney,12-Jan-19,
MD Gunathilaka (SL),133,-,134,16,1,99.25,1,,v Pakistan,Karachi,02-Oct-19,
CH Gayle (WI),132*,212,165,12,1,80,2,,v England,Lord's,06-Jul-04,
Khurram Khan (UAE),132*,-,138,17,1,95.65,2,,v Afghanistan,ICCA Dubai,30-Nov-14,
S Dhawan (INDIA),132*,-,90,20,3,146.66,2,,v Sri Lanka,Dambulla,20-Aug-17,
CH Gayle (WI),132,219,152,7,2,86.84,2,,v South Africa,Bridgetown,11-May-05,
Salman Butt (PAK),132,225,127,15,0,103.93,1,,v Bangladesh,Lahore,13-Apr-08,
RR Rossouw (SA),132,136,98,9,8,134.69,1,,v West Indies,Centurion,28-Jan-15,
Tamim Iqbal (BDESH),132,186,135,15,3,97.77,1,,v Pakistan,Dhaka,17-Apr-15,
ND McKenzie (SA),131*,169,121,8,3,108.26,1,,v Kenya,Cape Town,22-Oct-01,
LRPL Taylor (NZ),131*,171,124,8,7,105.64,1,,v Pakistan,Pallekele,08-Mar-11,
CJ Anderson (NZ),131*,51,47,6,14,278.72,1,,v West Indies,Queenstown,01-Jan-14,
Mohammad Shahzad (AFG),131*,-,133,7,8,98.49,2,,v Zimbabwe,Sharjah,29-Dec-15,
VVS Laxman (INDIA),131,203,138,13,1,94.92,1,,v Zimbabwe,Adelaide,24-Jan-04,
Yuvraj Singh (INDIA),131,134,102,10,7,128.43,1,,v West Indies,Kingston,26-Jun-09,
BB McCullum (NZ),131,206,129,14,3,101.55,1,,v Pakistan,Abu Dhabi,06-Nov-09,
V Kohli (INDIA),131,-,96,17,2,136.45,1,,v Sri Lanka,Colombo (RPS),31-Aug-17,
SE Marsh (AUS),131,178,116,10,3,112.93,2,,v England,Cardiff,16-Jun-18,
SE Marsh (AUS),131,182,123,11,3,106.5,1,,v India,Adelaide,15-Jan-19,
DA Miller (SA),130*,191,133,11,3,97.74,1,,v West Indies,Port Elizabeth,25-Jan-15,
CR Ervine (ZIM),130*,150,108,11,5,120.37,2,,v New Zealand,Harare,02-Aug-15,
Tamim Iqbal (BDESH),130*,-,160,10,3,81.25,1,,v West Indies,Providence,22-Jul-18,
V Sehwag (INDIA),130,193,134,15,2,97.01,1,,v New Zealand,Hyderabad (Deccan),15-Nov-03,
ME Trescothick (ENG),130,201,138,13,2,94.2,1,,v West Indies,Gros Islet,01-May-04,
ST Jayasuriya (SL),130,213,132,14,1,98.48,2,,v India,Colombo (RPS),27-Jul-04,
SM Pollock (Afr),130,165,110,19,1,118.18,2,,v Asia XI,Bengaluru,06-Jun-07,
MJ Clarke (AUS),130,202,132,10,3,98.48,1,,v India,Bengaluru,29-Sep-07,
ST Jayasuriya (SL),130,119,88,16,6,147.72,1,,v Bangladesh,Karachi,30-Jun-08,
AM Samad (CAN),130,-,125,12,2,104,1,,v Bermuda,King City (NW),01-Jul-08,
