0,1,2,3,4,5,6,7,8,9,10,11,12
SR Clark (AUS),16*,28,18,2,0,88.88,2,,v South Africa,Durban,10-Mar-06,
SM Pollock (SA),16*,26,20,0,1,80,2,,v Zimbabwe,Bloemfontein,15-Sep-06,
S Matsikenyeri (ZIM),16*,23,15,2,0,106.66,2,,v South Africa,Potchefstroom,20-Sep-06,
Z Khan (INDIA),16*,12,10,1,1,160,1,,v South Africa,Centurion,03-Dec-06,
SM Pollock (SA),16*,15,10,3,0,160,2,,v India,Centurion,03-Dec-06,
AC Voges (AUS),16*,15,10,0,1,160,1,,v New Zealand,Hamilton,20-Feb-07,
DCC Borden (BMUDA),16*,-,18,2,0,88.88,1,,v Canada,St John's,26-Feb-07,
KJ O'Brien (IRE),16*,92,52,2,0,30.76,2,,v Pakistan,Kingston,17-Mar-07,
MF Maharoof (SL),16*,15,12,0,1,133.33,1,,v Bangladesh,Colombo (PSS),20-Jul-07,
SM Pollock (SA),16*,38,17,1,0,94.11,2,,v Zimbabwe,Bulawayo,22-Aug-07,
RS Bopara (ENG),16*,50,31,1,0,51.61,2,,v Sri Lanka,Colombo (RPS),13-Oct-07,
KM Dabengwa (ZIM),16*,30,20,0,0,80,1,,v Pakistan,Sheikhupura,02-Feb-08,
LPC Silva (SL),16*,54,47,0,0,34.04,2,,v Australia,Melbourne,22-Feb-08,
Iftikhar Anjum (PAK),16*,23,19,2,0,84.21,2,,v India,Dhaka,10-Jun-08,
TN de Grooth (NL),16*,40,30,1,0,53.33,2,,v Bermuda,Amstelveen,08-Aug-08,
PP Ojha (INDIA),16*,33,29,1,0,55.17,1,,v Sri Lanka,Dambulla,18-Aug-08,
NO Miller (WI),16*,17,12,2,0,133.33,2,,v Bangladesh,Roseau,26-Jul-09,
JS Patel (NZ),16*,31,19,1,0,84.21,1,,v Australia,Centurion,05-Oct-09,
Shahadat Hossain (BDESH),16*,12,7,2,1,228.57,1,,v New Zealand,Dunedin,08-Feb-10,
A Nehra (INDIA),16*,-,17,1,1,94.11,1,,v South Africa,Jaipur,21-Feb-10,
S Matsikenyeri (ZIM),16*,17,14,2,0,114.28,1,,v West Indies,Providence,04-Mar-10,
MG Johnson (AUS),16*,19,13,1,0,123.07,1,,v New Zealand,Auckland,06-Mar-10,
E Chigumbura (ZIM),16*,29,15,1,0,106.66,2,,v India,Harare,03-Jun-10,
LD Chandimal (SL),16*,30,27,1,0,59.25,2,,v Zimbabwe,Harare,09-Jun-10,
CK Hooper (CAN),16*,21,13,0,2,123.07,2,,v Scotland,Amstelveen,03-Jul-10,
AS Luseno (KENYA),16*,29,20,2,0,80,1,,v Canada,Schiedam,10-Jul-10,
Yuvraj Singh (INDIA),16*,25,11,1,1,145.45,2,,v New Zealand,Jaipur,01-Dec-10,
RR Patel (KENYA),16*,46,23,1,0,69.56,1,,v New Zealand,Chennai,20-Feb-11,
HS Baidwan (CAN),16*,43,35,1,0,45.71,2,,v Sri Lanka,Hambantota,20-Feb-11,
MJ Clarke (AUS),16*,29,17,3,0,94.11,2,,v Canada,Bengaluru,16-Mar-11,
Misbah-ul-Haq (PAK),16*,58,46,1,1,34.78,2,,v Bangladesh,Dhaka,01-Dec-11,
SK Raina (INDIA),16*,16,12,2,0,133.33,1,,v West Indies,Chennai,11-Dec-11,
Mushfiqur Rahim (BDESH),16*,39,22,3,0,72.72,2,,v West Indies,Khulna,30-Nov-12,
MG Johnson (AUS),16*,25,17,1,0,94.11,1,,v West Indies,Perth,03-Feb-13,
Abdur Razzak (BDESH),16*,18,11,1,0,145.45,1,,v Zimbabwe,Bulawayo,03-May-13,
JEC Franklin (NZ),16*,31,21,2,0,76.19,2,,v England,Lord's,31-May-13,
RJ Peterson (SA),16*,24,16,2,0,100,1,,v Pakistan,Birmingham,10-Jun-13,
NLTC Perera (SL),16*,14,7,2,1,228.57,1,,v South Africa,Colombo (RPS),20-Jul-13,
AC Voges (AUS),16*,32,16,0,0,100,1,,v England,Manchester,08-Sep-13,
LL Tsotsobe (SA),16*,59,42,1,1,38.09,1,,v Pakistan,Sharjah,30-Oct-13,
JO Holder (WI),16*,38,27,2,0,59.25,1,,v India,Kochi,21-Nov-13,
Yuvraj Singh (INDIA),16*,53,29,2,0,55.17,2,,v West Indies,Kochi,21-Nov-13,
FDM Karunaratne (SL),16*,35,12,1,0,133.33,2,,v Pakistan,Dubai (DSC),20-Dec-13,
TT Bresnan (ENG),16*,19,9,1,1,177.77,1,,v Australia,Melbourne,12-Jan-14,
AD Mathews (SL),16*,23,13,2,0,123.07,2,,v Pakistan,Dhaka,08-Mar-14,
Mohammad Naveed (UAE),16*,-,24,0,1,66.66,2,,v Hong Kong,Kuala Lumpur,04-May-14,
Abdur Razzak (BDESH),16*,17,12,2,0,133.33,1,,v India,Dhaka,15-Jun-14,
AT Rayudu (INDIA),16*,33,19,2,0,84.21,2,,v Bangladesh,Dhaka,15-Jun-14,
RV Uthappa (INDIA),16*,48,16,1,0,100,1,,v Sri Lanka,Kolkata,13-Nov-14,
TL Chatara (ZIM),16*,12,15,1,1,106.66,2,,v Bangladesh,Dhaka,28-Nov-14,
R Ashwin (INDIA),16*,39,32,0,0,50,2,,v West Indies,Perth,06-Mar-15,
DL Vettori (NZ),16*,19,10,1,1,160,2,,v Bangladesh,Hamilton,13-Mar-15,
JP Faulkner (AUS),16*,15,6,2,1,266.66,2,,v Scotland,Hobart,14-Mar-15,
LM Jongwe (ZIM),16*,29,16,1,0,100,1,,v Pakistan,Harare,05-Oct-15,
Yasir Shah (PAK),16*,19,13,1,1,123.07,2,,v England,Abu Dhabi,13-Nov-15,
Dawlat Zadran (AFG),16*,-,23,2,0,69.56,2,,v Zimbabwe,Sharjah,04-Jan-16,
KA Pollard (WI),16*,25,12,1,1,133.33,2,,v Australia,Basseterre,13-Jun-16,
Imad Wasim (PAK),16*,27,19,2,0,84.21,2,,v England,Cardiff,04-Sep-16,
SJ Benn (WI),16*,31,19,2,0,84.21,2,,v Pakistan,Sharjah,30-Sep-16,
DAS Gunaratne (SL),16*,33,25,1,0,64,2,,v Zimbabwe,Bulawayo,27-Nov-16,
RA Jadeja (INDIA),16*,11,8,1,1,200,1,,v England,Cuttack,19-Jan-17,
Ahmed Raza (UAE),16*,-,23,2,0,69.56,2,,v Scotland,Dubai (DSC),24-Jan-17,
TA Boult (NZ),16*,5,7,2,1,228.57,1,,v Australia,Auckland,30-Jan-17,
SC Williams (ZIM),16*,18,16,3,0,100,2,,v Afghanistan,Harare,24-Feb-17,
C Munro (NZ),16*,-,14,2,0,114.28,2,,v Bangladesh,Dublin,17-May-17,
BJ McCarthy (IRE),16*,-,23,1,0,69.56,2,,v New Zealand,Dublin (Malahide),21-May-17,
Shoaib Malik (PAK),16*,17,14,3,0,114.28,2,,v South Africa,Birmingham,07-Jun-17,
SM Sharif (SCOT),16*,-,9,0,2,177.77,2,,v P.N.G.,Dubai (DSC),25-Nov-17,
Rashid Khan (AFG),16*,-,15,1,0,106.66,2,,v Ireland,Sharjah,07-Dec-17,
KOK Williams (WI),16*,26,20,1,0,80,1,,v New Zealand,Whangarei,20-Dec-17,
B Kumar (INDIA),16*,37,19,1,0,84.21,1,,v South Africa,Cape Town,07-Feb-18,
Ehsan Khan (HKG),16*,46,46,3,0,34.78,1,,v Scotland,Bulawayo,06-Mar-18,
KMA Paul (WI),16*,21,18,0,1,88.88,1,,v Afghanistan,Harare,15-Mar-18,
Aftab Alam (AFG),16*,42,25,2,0,64,1,,v Ireland,Belfast,29-Aug-18,
JP Duminy (SA),16*,41,29,2,0,55.17,2,,v Zimbabwe,Kimberley,30-Sep-18,
KM Jadhav (INDIA),16*,-,7,3,0,228.57,1,,v West Indies,Mumbai (BS),29-Oct-18,
Imam-ul-Haq (PAK),16*,-,34,1,0,47.05,2,,v New Zealand,Abu Dhabi,09-Nov-18,
Mushfiqur Rahim (BDESH),16*,-,14,2,1,114.28,2,,v West Indies,Sylhet,14-Dec-18,
DA Miller (SA),16*,20,12,2,0,133.33,1,,v Pakistan,Port Elizabeth,19-Jan-19,
MJ Santner (NZ),16*,15,9,0,1,177.77,1,,v Bangladesh,Dunedin,20-Feb-19,
JN Frylinck (NAM),16*,-,6,0,2,266.66,1,,v Oman,Windhoek,27-Apr-19,
DM de Silva (SL),16*,43,30,2,0,53.33,2,,v Australia,The Oval,15-Jun-19,
DT Tiripano (ZIM),16*,25,13,2,0,123.07,1,,v Netherlands,Deventer,21-Jun-19,
SC Getkate (IRE),16*,-,13,1,1,123.07,2,,v Zimbabwe,Bready,01-Jul-19,
RA Jadeja (INDIA),16*,24,16,1,0,100,1,,v West Indies,Port of Spain,11-Aug-19,
KM Jadhav (INDIA),16*,-,10,3,0,160,1,,v West Indies,Visakhapatnam,18-Dec-19,
ML Nkala (ZIM),16,30,22,0,0,72.72,1,,v Australia,Melbourne,21-Jan-01,
RL Powell (WI),16,31,21,2,0,76.19,1,,v Australia,Adelaide,26-Jan-01,
NAM McLean (WI),16,7,9,2,1,177.77,2,,v Australia,Melbourne,09-Feb-01,
JDP Oram (NZ),16,54,30,2,0,53.33,1,,v Pakistan,Auckland,17-Feb-01,
ME Trescothick (ENG),16,47,31,2,0,51.61,1,,v Sri Lanka,Colombo (SSC),27-Mar-01,
RR Singh (INDIA),16,42,32,0,0,50,2,,v Australia,Visakhapatnam,03-Apr-01,
GJ Whittall (ZIM),16,-,46,2,0,34.78,1,,v Bangladesh,Harare,08-Apr-01,
DNT Zoysa (SL),16,-,26,1,0,61.53,2,,v Pakistan,Sharjah,13-Apr-01,
CD McMillan (NZ),16,-,24,1,0,66.66,1,,v Pakistan,Sharjah,15-Apr-01,
CZ Harris (NZ),16,-,20,1,0,80,1,,v Sri Lanka,Sharjah,17-Apr-01,
LV Garrick (WI),16,79,61,1,0,26.22,1,,v South Africa,St John's,02-May-01,
S Chanderpaul (WI),16,44,32,2,0,50,2,,v South Africa,St George's,05-May-01,
JN Rhodes (SA),16,60,34,1,0,47.05,1,,v West Indies,Kingstown,16-May-01,
HH Streak (ZIM),16,28,19,1,0,84.21,2,,v West Indies,Harare,23-Jun-01,
HH Streak (ZIM),16,60,44,1,0,36.36,1,,v India,Harare,24-Jun-01,
RR Sarwan (WI),16,10,10,2,0,160,1,,v India,Harare,07-Jul-01,
L Vincent (NZ),16,36,33,0,0,48.48,1,,v India,Colombo (RPS),20-Jul-01,
L Vincent (NZ),16,33,33,1,0,48.48,1,,v India,Colombo (RPS),26-Jul-01,
Z Khan (INDIA),16,41,33,1,1,48.48,2,,v Sri Lanka,Colombo (RPS),05-Aug-01,
CO Obuya (KENYA),16,26,21,3,0,76.19,1,,v India,Bloemfontein,12-Oct-01,
AB Agarkar (INDIA),16,17,23,1,0,69.56,2,,v South Africa,East London,19-Oct-01,
HH Gibbs (SA),16,34,21,2,0,76.19,1,,v Kenya,Cape Town,22-Oct-01,
Mohammad Ashraful (BDESH),16,16,14,2,0,114.28,1,,v Zimbabwe,Dhaka,26-Nov-01,
SV Carlisle (ZIM),16,50,35,3,0,45.71,1,,v Sri Lanka,Colombo (SSC),08-Dec-01,
L Klusener (SA),16,26,17,1,0,94.11,2,,v Australia,Brisbane,20-Jan-02,
CD McMillan (NZ),16,48,34,1,0,47.05,2,,v South Africa,Adelaide,27-Jan-02,
MP Vaughan (ENG),16,41,27,1,0,59.25,1,,v India,Mumbai,03-Feb-02,
RS Morton (WI),16,44,29,2,0,55.17,2,,v Pakistan,Sharjah,15-Feb-02,
VVS Laxman (INDIA),16,43,27,2,0,59.25,1,,v Zimbabwe,Guwahati,19-Mar-02,
MV Boucher (SA),16,69,43,0,0,37.2,2,,v Australia,Centurion,24-Mar-02,
AC Gilchrist (AUS),16,31,24,2,0,66.66,2,,v South Africa,Potchefstroom,27-Mar-02,
SR Watson (AUS),16,35,26,1,0,61.53,2,,v South Africa,Cape Town,09-Apr-02,
MS Sinclair (NZ),16,38,38,1,0,42.1,2,,v Sri Lanka,Sharjah,14-Apr-02,
JDP Oram (NZ),16,31,31,0,2,51.61,2,,v Sri Lanka,Sharjah,14-Apr-02,
CH Gayle (WI),16,53,43,2,0,37.2,1,,v India,Bridgetown,29-May-02,
Younis Khan (PAK),16,44,30,2,0,53.33,1,,v Australia,Melbourne (Docklands),12-Jun-02,
Rashid Latif (PAK),16,33,26,2,0,61.53,2,,v Australia,Melbourne (Docklands),15-Jun-02,
V Sehwag (INDIA),16,35,19,2,0,84.21,1,,v England,Chester-le-Street,04-Jul-02,
DPMD Jayawardene (SL),16,41,39,1,0,41.02,1,,v Bangladesh,Colombo (RPS),07-Aug-02,
MS Atapattu (SL),16,33,22,3,0,72.72,1,,v Pakistan,Tangier,17-Aug-02,
MS Atapattu (SL),16,-,21,2,0,76.19,2,,v South Africa,Tangier,19-Aug-02,
JP Maher (AUS),16,22,18,3,0,88.88,2,,v Kenya,Nairobi (Gym),05-Sep-02,
Abdul Razzaq (PAK),16,33,32,1,0,50,1,,v Sri Lanka,Colombo (RPS),12-Sep-02,
SB Styris (NZ),16,25,14,3,0,114.28,2,,v Australia,Colombo (SSC),15-Sep-02,
WPUJC Vaas (SL),16,19,16,0,0,100,1,,v Netherlands,Colombo (RPS),16-Sep-02,
KO Otieno (KENYA),16,85,53,2,0,30.18,2,,v South Africa,Colombo (RPS),20-Sep-02,
LP van Troost (NL),16,81,59,2,0,27.11,1,,v Pakistan,Colombo (SSC),21-Sep-02,
DL Vettori (NZ),16,17,12,1,0,133.33,1,,v Bangladesh,Colombo (SSC),23-Sep-02,
SR Tendulkar (INDIA),16,39,29,1,0,55.17,1,,v South Africa,Colombo (RPS),25-Sep-02,
SC Ganguly (INDIA),16,53,33,2,0,48.48,1,,v West Indies,Jamshedpur,06-Nov-02,
MN Samuels (WI),16,41,18,3,0,88.88,1,,v India,Rajkot,12-Nov-02,
HH Gibbs (SA),16,32,25,3,0,64,1,,v Sri Lanka,Centurion,29-Nov-02,
GC Smith (SA),16,39,31,2,0,51.61,1,,v Sri Lanka,Benoni,01-Dec-02,
WW Hinds (WI),16,31,26,3,0,61.53,1,,v Bangladesh,Dhaka,03-Dec-02,
Khaled Mashud (BDESH),16,29,34,2,0,47.05,2,,v West Indies,Dhaka,03-Dec-02,
Shahid Afridi (PAK),16,28,16,2,1,100,2,,v South Africa,East London,13-Dec-02,
RJ Campbell (AUS),16,20,18,1,0,88.88,1,,v Sri Lanka,Perth,22-Dec-02,
AJ Stewart (ENG),16,22,12,2,0,133.33,2,,v Australia,Hobart,11-Jan-03,
ID Blackwell (ENG),16,21,16,2,0,100,2,,v Sri Lanka,Sydney,13-Jan-03,
A Flintoff (ENG),16,25,18,2,0,88.88,2,,v Australia,Melbourne,25-Jan-03,
A Codrington (CAN),16,37,31,1,0,51.61,1,,v Bangladesh,Durban,11-Feb-03,
MO Odumbe (KENYA),16,48,33,0,0,48.48,1,,v South Africa,Potchefstroom,12-Feb-03,
PJ Ongondo (KENYA),16,33,16,2,0,100,2,,v Canada,Cape Town,15-Feb-03,
ID Blackwell (ENG),16,27,19,1,0,84.21,1,,v Namibia,Port Elizabeth,19-Feb-03,
I Maraj (CAN),16,58,34,2,0,47.05,1,,v West Indies,Centurion,23-Feb-03,
IS Billcliff (CAN),16,41,33,2,0,48.48,1,,v West Indies,Centurion,23-Feb-03,
NA de Groot (CAN),16,51,36,2,0,44.44,2,,v South Africa,East London,27-Feb-03,
Sanwar Hossain (BDESH),16,27,28,1,0,57.14,2,,v Kenya,Johannesburg,01-Mar-03,
ST Jayasuriya (SL),16,41,30,1,0,53.33,1,,v South Africa,Durban,03-Mar-03,
JH Kallis (SA),16,20,19,1,0,84.21,2,,v Sri Lanka,Durban,03-Mar-03,
MS Atapattu (SL),16,46,24,3,0,66.66,2,,v Australia,Centurion,07-Mar-03,
M Muralitharan (SL),16,19,14,3,0,114.28,2,,v India,Johannesburg,10-Mar-03,
CL Cairns (NZ),16,35,25,2,1,64,2,,v Australia,Port Elizabeth,11-Mar-03,
Yuvraj Singh (INDIA),16,15,10,1,1,160,1,,v Kenya,Durban,20-Mar-03,
Taufeeq Umar (PAK),16,70,50,1,0,32,1,,v Zimbabwe,Sharjah,03-Apr-03,
HDPK Dharmasena (SL),16,28,25,0,0,64,1,,v Zimbabwe,Sharjah,07-Apr-03,
HH Dippenaar (SA),16,26,30,0,0,53.33,1,,v Bangladesh,Dhaka,17-Apr-03,
SP Fleming (NZ),16,90,58,0,1,27.58,1,,v Sri Lanka,Dambulla,19-May-03,
RR Sarwan (WI),16,-,30,0,0,53.33,2,,v Australia,Port of Spain,24-May-03,
A Symonds (AUS),16,-,27,1,0,59.25,1,,v West Indies,St George's,30-May-03,
Azhar Mahmood (PAK),16,33,18,0,1,88.88,2,,v England,Manchester,17-Jun-03,
JA Rudolph (SA),16,53,36,2,0,44.44,1,,v England,Birmingham,08-Jul-03,
Javed Omar (BDESH),16,58,55,1,0,29.09,2,,v Australia,Darwin,06-Aug-03,
Khaled Mahmud (BDESH),16,15,14,2,0,114.28,2,,v Pakistan,Lahore,15-Sep-03,
Yasir Hameed (PAK),16,49,32,2,0,50,1,,v South Africa,Lahore,05-Oct-03,
DR Martyn (AUS),16,50,26,1,0,61.53,2,,v India,Gwalior,26-Oct-03,
PA Patel (INDIA),16,43,31,0,0,51.61,2,,v Australia,Mumbai,01-Nov-03,
RT Ponting (AUS),16,35,24,3,0,66.66,2,,v New Zealand,Pune,03-Nov-03,
Khaled Mashud (BDESH),16,40,36,0,0,44.44,1,,v England,Dhaka,12-Nov-03,
TR Gripper (ZIM),16,37,22,2,0,72.72,2,,v West Indies,Bulawayo,22-Nov-03,
RA Jones (NZ),16,55,41,1,0,39.02,1,,v Pakistan,Lahore,29-Nov-03,
CB Wishart (ZIM),16,48,24,0,1,66.66,1,,v West Indies,Harare,30-Nov-03,
VVS Laxman (INDIA),16,27,22,0,0,72.72,2,,v Australia,Melbourne,09-Jan-04,
R Dravid (INDIA),16,18,19,1,0,84.21,2,,v Australia,Melbourne,09-Jan-04,
T Taibu (ZIM),16,38,36,0,0,44.44,1,,v India,Hobart,14-Jan-04,
Imran Farhat (PAK),16,64,40,2,0,40,1,,v New Zealand,Napier,14-Jan-04,
SP Fleming (NZ),16,39,22,2,0,72.72,1,,v Pakistan,Wellington,17-Jan-04,
A Symonds (AUS),16,23,16,1,1,100,2,,v India,Sydney,22-Jan-04,
JH Kallis (SA),16,63,44,2,0,36.36,1,,v West Indies,Port Elizabeth,28-Jan-04,
JH Kallis (SA),16,-,25,1,0,64,2,,v New Zealand,Wellington,20-Feb-04,
HH Gibbs (SA),16,32,28,3,0,57.14,1,,v New Zealand,Dunedin,25-Feb-04,
SB Styris (NZ),16,24,19,0,2,84.21,1,,v South Africa,Auckland,29-Feb-04,
MJ Clarke (AUS),16,67,47,1,0,34.04,1,,v Sri Lanka,Colombo (SSC),29-Feb-04,
Moin Khan (PAK),16,35,17,0,0,94.11,2,,v India,Karachi,13-Mar-04,
IK Pathan (INDIA),16,26,21,0,1,76.19,1,,v Pakistan,Peshawar,19-Mar-04,
M Kaif (INDIA),16,27,20,0,0,80,1,,v Pakistan,Lahore,24-Mar-04,
DR Smith (WI),16,39,18,2,0,88.88,1,,v England,Georgetown,18-Apr-04,
DD Ebrahim (ZIM),16,34,23,1,0,69.56,1,,v Sri Lanka,Bulawayo,22-Apr-04,
DJ Bravo (WI),16,53,43,1,0,37.2,2,,v Bangladesh,Kingstown,15-May-04,
MJ Clarke (AUS),16,14,11,3,0,145.45,1,,v Zimbabwe,Harare,27-May-04,
Ilyas Gull (HKG),16,57,49,1,0,32.65,2,,v Bangladesh,Colombo (SSC),16-Jul-04,
V Sehwag (INDIA),16,8,8,3,0,200,2,,v Bangladesh,Colombo (SSC),21-Jul-04,
R Dravid (INDIA),16,24,28,0,0,57.14,2,,v Sri Lanka,Colombo (RPS),01-Aug-04,
Harbhajan Singh (INDIA),16,31,30,2,0,53.33,2,,v Sri Lanka,Colombo (RPS),01-Aug-04,
GC Smith (SA),16,49,27,1,0,59.25,1,,v Sri Lanka,Dambulla,25-Aug-04,
JH Desai (USA),16,43,38,1,0,42.1,2,,v New Zealand,The Oval,10-Sep-04,
S Matsikenyeri (ZIM),16,30,22,3,0,72.72,1,,v Sri Lanka,The Oval,14-Sep-04,
T Taibu (ZIM),16,50,34,1,0,47.05,1,,v Sri Lanka,The Oval,14-Sep-04,
JH Kallis (SA),16,38,33,0,0,48.48,1,,v West Indies,The Oval,18-Sep-04,
CH Gayle (WI),16,34,19,3,0,84.21,2,,v South Africa,The Oval,18-Sep-04,
RL Powell (WI),16,14,10,0,2,160,2,,v South Africa,The Oval,18-Sep-04,
A Flintoff (ENG),16,10,9,1,1,177.77,2,,v Australia,Birmingham,21-Sep-04,
PD Collingwood (ENG),16,41,40,1,0,40,1,,v West Indies,The Oval,25-Sep-04,
SR Tendulkar (INDIA),16,30,17,2,0,94.11,1,,v Pakistan,Kolkata,13-Nov-04,
R Dravid (INDIA),16,41,34,1,0,47.05,1,,v Pakistan,Kolkata,13-Nov-04,
Abdul Razzaq (PAK),16,-,21,3,0,76.19,1,,v Australia,Sydney,23-Jan-05,
Manjural Islam Rana (BDESH),16,30,23,0,0,69.56,2,,v Zimbabwe,Chattogram,24-Jan-05,
S Matsikenyeri (ZIM),16,54,28,2,0,57.14,2,,v Bangladesh,Chattogram,26-Jan-05,
Habibul Bashar (BDESH),16,36,27,0,0,59.25,1,,v Zimbabwe,Dhaka,29-Jan-05,
AB de Villiers (SA),16,39,28,2,0,57.14,2,,v England,Port Elizabeth,04-Feb-05,
GC Smith (SA),16,44,27,1,0,59.25,1,,v England,Cape Town,06-Feb-05,
HJH Marshall (NZ),16,27,20,1,1,80,2,,v Australia,Christchurch,22-Feb-05,
JA Morkel (SA),16,7,6,2,1,266.66,1,,v Zimbabwe,Johannesburg,25-Feb-05,
A Maregwede (ZIM),16,47,39,1,0,41.02,2,,v South Africa,Johannesburg,25-Feb-05,
S Matsikenyeri (ZIM),16,79,44,1,0,36.36,2,,v South Africa,Durban,27-Feb-05,
T Taibu (ZIM),16,32,27,0,0,59.25,2,,v South Africa,Durban,27-Feb-05,
TK Canning (NZ),16,31,27,0,1,59.25,2,,v Australia,Napier,05-Mar-05,
Yuvraj Singh (INDIA),16,26,22,2,0,72.72,1,,v Pakistan,Kochi,02-Apr-05,
Inzamam-ul-Haq (PAK),16,35,13,0,1,123.07,2,,v India,Visakhapatnam,05-Apr-05,
AB Agarkar (INDIA),16,51,26,2,0,61.53,2,,v Pakistan,Delhi,17-Apr-05,
CO Browne (WI),16,11,8,2,1,200,1,,v South Africa,Port of Spain,15-May-05,
Salman Butt (PAK),16,18,20,3,0,80,1,,v West Indies,Gros Islet,21-May-05,
DJ Bravo (WI),16,21,13,1,0,123.07,2,,v Pakistan,Gros Islet,22-May-05,
ME Trescothick (ENG),16,31,32,3,0,50,2,,v Australia,Bristol,19-Jun-05,
AJ Strauss (ENG),16,40,23,3,0,69.56,2,,v Australia,Bristol,19-Jun-05,
Habibul Bashar (BDESH),16,22,23,1,0,69.56,2,,v England,Nottingham,21-Jun-05,
GB Hogg (AUS),16,16,22,1,0,72.72,1,,v England,Lord's,02-Jul-05,
DPMD Jayawardene (SL),16,16,11,1,1,145.45,1,,v West Indies,Dambulla,02-Aug-05,
KC Sangakkara (SL),16,39,30,3,0,53.33,2,,v India,Dambulla,03-Aug-05,
MV Boucher (Afr),16,17,16,4,0,100,2,,v Asia XI,Durban,20-Aug-05,
WPUJC Vaas (SL),16,23,19,2,0,84.21,1,,v Bangladesh,Colombo (SSC),31-Aug-05,
T Taibu (ZIM),16,-,38,0,0,42.1,2,,v New Zealand,Harare,31-Aug-05,
KP Pietersen (ICC),16,26,22,0,1,72.72,2,,v Australia,Melbourne (Docklands),07-Oct-05,
R Dravid (ICC),16,50,38,1,0,42.1,2,,v Australia,Melbourne (Docklands),09-Oct-05,
Shahid Afridi (ICC),16,12,8,2,1,200,2,,v Australia,Melbourne (Docklands),09-Oct-05,
HJH Marshall (NZ),16,63,40,1,0,40,1,,v South Africa,Bloemfontein,23-Oct-05,
ST Jayasuriya (SL),16,28,17,3,0,94.11,1,,v India,Pune,03-Nov-05,
ME Trescothick (ENG),16,31,23,2,0,69.56,1,,v Pakistan,Lahore,12-Dec-05,
KC Sangakkara (SL),16,35,31,2,0,51.61,2,,v Australia,Melbourne (Docklands),13-Jan-06,
HH Gibbs (SA),16,26,27,2,0,59.25,2,,v Australia,Brisbane,15-Jan-06,
WU Tharanga (SL),16,23,18,2,0,88.88,1,,v South Africa,Brisbane,17-Jan-06,
KC Sangakkara (SL),16,40,24,1,0,66.66,1,,v South Africa,Perth,31-Jan-06,
SM Pollock (SA),16,22,17,1,0,94.11,2,,v Australia,Melbourne (Docklands),03-Feb-06,
Inzamam-ul-Haq (PAK),16,32,19,2,0,84.21,2,,v India,Peshawar,06-Feb-06,
A Symonds (AUS),16,25,18,0,1,88.88,2,,v Sri Lanka,Adelaide,10-Feb-06,
MEK Hussey (AUS),16,24,21,1,0,76.19,2,,v Sri Lanka,Adelaide,10-Feb-06,
Inzamam-ul-Haq (PAK),16,46,28,1,0,57.14,1,,v India,Lahore,13-Feb-06,
Younis Khan (PAK),16,23,23,3,0,69.56,1,,v India,Lahore,13-Feb-06,
CK Kapugedera (SL),16,7,9,1,1,177.77,1,,v Bangladesh,Chattogram,25-Feb-06,
NW Bracken (AUS),16,8,7,0,2,228.57,1,,v South Africa,Centurion,26-Feb-06,
SM Katich (AUS),16,79,48,3,0,33.33,2,,v South Africa,Cape Town,03-Mar-06,
DR Smith (WI),16,13,12,1,1,133.33,2,,v New Zealand,Auckland,04-Mar-06,
HH Dippenaar (SA),16,75,35,2,0,45.71,2,,v Australia,Port Elizabeth,05-Mar-06,
HH Gibbs (SA),16,38,30,2,0,53.33,2,,v Australia,Port Elizabeth,05-Mar-06,
TM Odoyo (KENYA),16,32,20,2,0,80,2,,v Bangladesh,Bogra,17-Mar-06,
RP Arnold (SL),16,39,28,1,0,57.14,1,,v Pakistan,Colombo (RPS),19-Mar-06,
MA Ouma (KENYA),16,56,39,1,0,41.02,1,,v Bangladesh,Fatullah,25-Mar-06,
Shahriar Nafees (BDESH),16,34,19,2,0,84.21,1,,v Australia,Chattogram,23-Apr-06,
MJ Clarke (AUS),16,77,49,1,0,32.65,2,,v Bangladesh,Chattogram,23-Apr-06,
RS Morton (WI),16,-,45,2,0,35.55,1,,v Zimbabwe,St John's,30-Apr-06,
T Mupariwa (ZIM),16,-,28,2,0,57.14,2,,v West Indies,St John's,30-Apr-06,
KO Meth (ZIM),16,-,41,1,0,39.02,2,,v West Indies,Port of Spain,14-May-06,
A Bagai (CAN),16,15,18,2,1,88.88,2,,v Zimbabwe,Port of Spain,16-May-06,
GH O'Brien (BMUDA),16,9,9,3,0,177.77,2,,v Zimbabwe,Port of Spain,20-May-06,
TT Bresnan (ENG),16,21,21,1,0,76.19,2,,v Sri Lanka,Lord's,17-Jun-06,
JAR Blain (SCOT),16,26,36,1,0,44.44,2,,v Ireland,Ayr,05-Aug-06,
A Bagai (CAN),16,53,53,1,0,30.18,1,,v Kenya,Toronto,06-Aug-06,
DJ Reekers (NL),16,24,12,3,0,133.33,2,,v Ireland,Ayr,08-Aug-06,
ME Trescothick (ENG),16,44,27,2,0,59.25,1,,v Pakistan,Cardiff,30-Aug-06,
Abdul Razzaq (PAK),16,21,18,1,0,88.88,2,,v England,Southampton,05-Sep-06,
CJ Chibhabha (ZIM),16,23,25,2,0,64,2,,v Bangladesh,Jaipur,13-Oct-06,
HH Gibbs (SA),16,15,18,3,0,88.88,1,,v Sri Lanka,Ahmedabad,24-Oct-06,
